  PID TTY           TIME CMD
  731 ??         0:00.27 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  732 ??         0:00.84 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  733 ??        12:05.72 /Applications/PyCharm.app/Contents/MacOS/pycharm
  737 ??         0:00.27 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/atsd
  752 ??         0:00.02 /usr/bin/ssh-agent -l
  755 ??         0:00.84 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
  762 ??         0:00.05 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/XPCServices/com.apple.DictionaryServiceHelper.xpc/Contents/MacOS/com.apple.DictionaryServiceHelper
  764 ??         0:00.42 /Applications/PyCharm.app/Contents/bin/fsnotifier
  774 ??         0:00.03 /usr/sbin/distnoted agent
  862 ??         3:00.10 /Applications/Firefox.app/Contents/MacOS/firefox
  892 ??         0:00.23 /usr/sbin/spindump
  908 ??         1:39.30 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -childID 1 -isForBrowser -prefsLen 1 -prefMapSize 198517 -schedulerPrefs 0001,2 -parentBuildID 20181030165643 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appdir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/ywatanabe/Library/Application Support/Firefox/Profiles/af3evula.default 862 gecko-crash-server-pipe.862 org.mozilla.machname.155529795 tab
